,vacancy_uuid,hard_skills,extra_skills,benefits,experience,work_type,monthly_wage,is_junior,is_middle,is_senior,is_teamlead
11,dfaf7cc8-3726-361e-b7cf-6d9746d6bf77,"['sql', 'теория тестирование', 'интеграционный тестирование']","['коммуникабельность', 'обучаемость']",2,3,,283000,False,True,False,False
12,61a5a940-c9f2-3f9f-bbda-9cf735697878,"['гибкий методология разработка scrum', 'kanban']","['коммуникативный навык', 'управление ожидание заказчик', 'проактивность']",0,2,,,False,False,False,True
13,4c9676a3-15f9-3ec7-88ac-96dab7b343ba,"['hadoop', 'big data', 'data warehouse', 'hive', 'hdfs', 'spark', 'etl', 'sql']","['коммуникативный навык', 'умение находить общий язык', 'понимание жизненный цикл ита решение']",8,3,flexible,150000,False,True,False,False
14,ab135980-4634-3579-8707-2f094b5579a9,"['docker', 'kafka', 'linux', 'ansible', 'terraform', 'packer', 'bash sh', 'kubernetes', 'haproxy', 'nginx', 'gitlab', 'teamcity', 'helm']",[],9,3,flexible,150000,False,True,False,False
15,042d69ba-f5fb-3248-aa7d-ae47d5ff21ea,"['sql', 'dwh', 'data vault']","['аналитический навык', 'коммуникация']",4,3,flexible,150000,False,True,False,False
16,b1148bfd-c881-3e51-92fd-29912e58b38d,"['python', 'etl', 'rest api', 'soap', 'sql', 'hadoop', 'spark', 'git', 'unix']",[],15,3,flexible,150000,False,False,False,False
17,72feffa1-4e1b-3745-b540-f8dd04722854,[],"['гибкость', 'амбициозность', 'аналитический мышление']",1,5,,500000,False,False,True,False
18,7de66249-ed0c-315d-8c52-3d9fd5082cc4,"['java', 'kotlin', 'rxjava']",[],2,3,distance,150000,False,False,True,False
19,2c530588-044c-3be6-967c-a921937007be,"['sql', 'hadoop', 'bi', 'spark', 'kafka', 'python']","['гибкость', 'коммуникабельность', 'аналитический склад ум']",4,3,flexible,150000,False,True,False,False
20,f4a7096b-e1c4-3b4c-be6a-493eb29c6b0f,"['java', 'spring', 'kubernetes', 'openshift', 'kafka', 'rabbitmq']","['гибкость', 'обучаемость', 'ответственность']",8,4,flexible,150000,False,False,True,False
21,47c1a3d8-84b7-3986-9214-f61679697e65,"['react', 'js', 'java', 'microservices', 'postgresql']","['гибкость', 'коммуникативность']",3,2,,150000,False,False,False,True
22,3c4359e8-8e2f-3c51-9b62-562080e1b549,"['java', 'spring framework', 'hibernate', 'stream', 'optional', 'collections', 'java 8 11', 'junit', 'testng', 'mockito', 'git', 'maven']",[],0,3,,150000,False,True,False,False
23,9c23bbc9-e2fe-39eb-ad49-3194275143ff,"['java 11', 'postgressql', 'tarantool', 'kafka', 'artemismq', 'k8s openshift', 'openstack', 'nutanix']","['организация работа команда', 'управление команда', 'понимание брокерский бизнес', 'работа методология scrum', 'agile практика', 'работа backlog', 'приоритизация задача']",1,5,,500000,False,False,False,True
24,b2315867-73a2-3d43-acac-cbb92bd793b3,"['java', 'spring', 'git', 'gradle maven', 'kafka', 'rabbitmq', 'artemismq', 'docker', 'kubernetes openshift', 'postgresql', 'oracle', 'unit testing', 'reactive spring spring webflux', 'r2dbc', 'reactive spring data']",[],1,5,,300000,False,False,True,False
25,f97f9ccf-12cc-377a-8e1d-37039d591c8b,"['python3', 'asyncio', 'pytest', 'asyncio http frameworks', 'postgresql', 'sql', 'docker', 'rabbitmq', 'kafka', 'nats messaging', 'redis', 'gitlab ci', 'elk', 'grafana', 'microservices design', 'api', 'k8s']",[],0,2,,null,False,False,False,False
26,aecfdaf6-e12c-3309-8f1b-157028ef63d5,"['java', 'spring framework', 'hibernate', 'git', 'maven', 'junit', 'testng']",[],0,3,,150000,False,True,False,False
27,a5d0e1fd-7baa-3a6f-98f4-b908ac7fce43,"['java', 'spring', 'kubernetes', 'openshift', 'kafka', 'rabbitmq']","['готовность принимать решение', 'ответственность']",14,4,flexible,null,False,False,True,False
28,259bf318-e6a7-3b6c-93f9-e1804a89ee63,"['vue js', 'nuxt js', 'vuex pinia', 'html5', 'css', 'scss less', 'javascript', 'typescript', 'webpack', 'vite', 'rest api', 'postman', 'swagger', 'git', 'gitlab ci', 'docker', 'docker compose']","['коммуникация', 'кроссфункциональный взаимодействие', 'ответственность', 'работа команда', 'способность обучение развитие', 'адаптивность', 'настойчивость', 'упорство']",12,3,distance,150000,False,True,False,False
