,uuid,is_junior,is_middle,is_senior,is_teamlead,work_type,experience,skills
16,b1148bfd-c881-3e51-92fd-29912e58b38d,,,,,flexible,,"['алгоритм', 'rabbitmq', 'rest', 'обучение', 'sql', 'kafka', 'airflow', 'spark', 'git', 'разработка', 'arenadata', 'it', 'субд', 'тестирование', 'python', 'unix', 'impala', 'проектирование', 'банк', 'soap', 'api', 'etl', 'hadoop', 'clickhouse']"
17,72feffa1-4e1b-3745-b540-f8dd04722854,,,,,office,,"['банк', 'b2b', 'амбициозность', 'бизнес', 'fintech', 'it']"
18,7de66249-ed0c-315d-8c52-3d9fd5082cc4,True,False,False,False,distance,4.0,"['backend', 'android', 'kotlin', 'data', 'core', 'ml', 'hr', 'rxjava', 'qa', 'дизайн', 'java']"
19,2c530588-044c-3be6-967c-a921937007be,True,True,False,False,flexible,,"['data', 's3', 'обучение', 'sql', 'uml', 'kafka', 'spark', 'моделирование', 'разработка', 'бизнес', 'hue', 'agile', 'kanban', 'hive', 'arenadata', 'отчетность', 'субд', 'scrum', 'тестирование', 'python', 'протоколирование', 'bi', 'impala', 'проектирование', 'jira', 'oracle', 'c', 'it', 'hadoop']"
20,f4a7096b-e1c4-3b4c-be6a-493eb29c6b0f,True,True,True,True,flexible,3.0,"['api', 'kafka', 'openshift', 'банк', 'закупка', 'kubernetes', 'rabbitmq', 'c', 'разработка', 'бизнес', 'обучение', 'spring', 'it', 'проектирование', 'ответственность', 'java', 'r']"
21,47c1a3d8-84b7-3986-9214-f61679697e65,,,,,flexible,,"['jira', 'scrum', 'microservices', 'react', 'c', 'разработка', 'confluence', 'бизнес', 'js', 'api', 'agile', 'postgresql', 'проектирование', 'ответственность', 'java']"
22,3c4359e8-8e2f-3c51-9b62-562080e1b549,,,,,,3.0,"['jira', 'cloud', 'junit', 'алгоритм', 'maven', 'solid', 'ооп', 'kubernetes', 'docker', 'hibernate', 'git', 'разработка', 'confluence', 'testng', 'spring', 'проектирование', 'java']"
23,9c23bbc9-e2fe-39eb-ad49-3194275143ff,,,,,,,"['kafka', 'jira', 'tarantool', 'k8s', 'scrum', 'тестирование', 'мотивация', 'разработка', 'confluence', 'бизнес', 'openstack', 'agile', 'openshift', 'java', 'виртуализация']"
24,b2315867-73a2-3d43-acac-cbb92bd793b3,False,True,False,False,,,"['maven', 'data', 'core', 'rabbitmq', 'postgresql', 'backend', 'kafka', 'git', 'разработка', 'gradle', 'openshift', 'субд', 'k8s', 'spring', 'банк', 'oracle', 'docker', 'c', 'nexus', 'java']"
25,f97f9ccf-12cc-377a-8e1d-37039d591c8b,,,,,,,"['api', 'kafka', 'k8s', 'elk', 'http', 'gitlab', 'rabbitmq', 'asyncio', 'docker', 'fastapi', 'sql', 'grafana', 'nats', 'postgresql', 'проектирование', 'redis']"
26,aecfdaf6-e12c-3309-8f1b-157028ef63d5,,,,,,3.0,"['jira', 'cloud', 'junit', 'алгоритм', 'maven', 'solid', 'ооп', 'kubernetes', 'docker', 'hibernate', 'git', 'разработка', 'confluence', 'testng', 'spring', 'проектирование', 'java']"
27,a5d0e1fd-7baa-3a6f-98f4-b908ac7fce43,False,True,False,False,flexible,,"['kafka', 'налог', 'отчетность', 'банк', 'openshift', 'kubernetes', 'rabbitmq', 'разработка', 'обучение', 'spring', 'проектирование', 'ответственность', 'java']"
28,259bf318-e6a7-3b6c-93f9-e1804a89ee63,,,,,distance,,"['webpack', 'gitlab', 'rest', 'обучение', 'ответственность', 'api', 'qa', 'git', 'разработка', 'typescript', 'android', 'swagger', 'postman', 'проектирование', '1с', 'css', 'javascript', 'docker', 'html5', 'js', 'it', 'дизайн']"
